popularity,release_date_y,genres
64,7/1/67,motown
64,7/1/67,northern soul
64,7/1/67,soul
52,1966,proto-punk
52,1966,garage rock
52,1966,acid rock
56,1/23/67,motown
56,1/23/67,northern soul
56,1/23/67,soul
54,1/1/11,baroque pop
41,2/16/18,baroque pop
63,1/20/67,classic rock
63,1/20/67,rock
37,1/23/67,motown
37,1/23/67,northern soul
37,1/23/67,soul
52,5/26/67,classic rock
52,5/26/67,psychedelic rock
77,1967-08,christmas
77,1967-08,big band
77,1967-08,adult standards
77,1967-08,swing music
77,1967-08,vocal jazz
77,1967-08,jazz
32,4/26/05,motown
32,4/26/05,northern soul
32,4/26/05,soul
74,3/10/67,soul
74,3/10/67,motown
74,3/10/67,jazz blues
40,4/11/06,baroque pop
40,4/11/06,acid rock
69,1/4/67,psychedelic rock
69,1/4/67,classic rock
69,1/4/67,acid rock
52,11/13/00,classic rock
52,11/13/00,psychedelic rock
49,1967,psychedelic rock
49,1967,acid rock
49,1967,psychedelic pop
49,1967,baroque pop
60,11/27/67,classic rock
60,11/27/67,psychedelic rock
44,1968,psychedelic rock
44,1968,psychedelic pop
44,1968,bubblegum pop
44,1968,acid rock
46,8/20/18,orchestra
46,8/20/18,easy listening
76,1968,soul
76,1968,motown
76,1968,soul blues
33,10/30/07,philly soul
33,10/30/07,northern soul
33,10/30/07,motown
33,10/30/07,soul
75,4/3/68,folk rock
75,4/3/68,folk
53,5/1/68,adult standards
53,5/1/68,exotica
44,1/1/68,afro soul
44,1/1/68,afrobeat
60,7/3/68,psychedelic rock
60,7/3/68,classic rock
60,7/3/68,acid rock
70,11/13/00,classic rock
70,11/13/00,psychedelic rock
49,10/7/97,motown
49,10/7/97,northern soul
73,8/26/68,motown
73,8/26/68,soul
73,8/26/68,northern soul
73,8/26/68,quiet storm
53,10/8/99,funk
53,10/8/99,motown
53,10/8/99,funk rock
53,10/8/99,soul
50,1/1/01,bubblegum pop
67,5/8/70,classic rock
67,5/8/70,psychedelic rock
29,9/14/00,exotica
29,9/14/00,adult standards
29,9/14/00,easy listening
55,11/29/19,classic rock
55,11/29/19,rock
51,1/1/69,motown
51,1/1/69,soul
75,6/17/69,rockabilly
75,6/17/69,rock and roll
77,9/26/69,classic rock
77,9/26/69,psychedelic rock
74,9/26/69,classic rock
74,9/26/69,psychedelic rock
60,10/31/67,folk
60,10/31/67,folk rock
54,11/3/69,motown
54,11/3/69,northern soul
76,12/18/69,motown
76,12/18/69,christmas
64,1969,nederpop
55,11/21/70,funk
55,11/21/70,motown
55,11/21/70,funk rock
55,11/21/70,soul
68,1/26/70,folk rock
68,1/26/70,folk
78,5/8/70,classic rock
78,5/8/70,psychedelic rock
66,5/8/70,motown
66,5/8/70,christmas
19,1/1/70,classic rock
0,1/1/61,comedy
64,5/8/70,classic rock
64,5/8/70,psychedelic rock
50,5/8/70,motown
50,5/8/70,christmas
69,1/1/70,christmas
69,1/1/70,adult standards
56,6/1/73,soft rock
60,1/1/70,northern soul
60,1/1/70,motown
57,11/17/17,motown
57,11/17/17,disco
63,9/8/70,motown
63,9/8/70,christmas
51,1970,bubblegum pop
55,8/29/67,motown
55,8/29/67,northern soul
55,8/29/67,soul
36,11/14/70,glam rock
69,1/11/71,classic rock
69,1/11/71,acid rock
69,1/11/71,psychedelic rock
63,1/1/71,motown
63,1/1/71,soul
53,12/20/71,classic rock
53,12/20/71,rock
0,7/27/10,northern soul
0,7/27/10,motown
73,1971,singer-songwriter
73,1971,folk rock
45,1971,proto-punk
45,1971,garage rock
54,1976,folk rock
54,1976,soft rock
54,1976,singer-songwriter
63,1971-09,disco
71,5/18/71,soft rock
57,1971,soul
48,11/20/71,funk
48,11/20/71,motown
48,11/20/71,funk rock
48,11/20/71,soul
75,1972,soul
75,1972,motown
75,1972,soul blues
65,1971,baroque pop
65,1971,singer-songwriter
57,1/1/10,classic rock
57,1/1/10,folk rock
57,1/1/10,singer-songwriter
57,1/1/10,roots rock
78,1972,soft rock
78,1972,folk rock
65,1969,adult standards
50,2006,motown
50,2006,philly soul
50,2006,soul
50,2006,smooth soul
41,5/19/17,soul
41,5/19/17,motown
41,1/1/02,big band
41,1/1/02,swing music
41,1/1/02,adult standards
41,1/1/02,vocal jazz
71,5/1/72,soul
71,5/1/72,motown
40,1/1/10,rockabilly
40,1/1/10,rock and roll
65,1/11/00,motown
65,1/11/00,soul
66,10/25/72,philly soul
66,10/25/72,soul
66,10/25/72,motown
67,10/28/72,motown
67,10/28/72,soul
74,1/1/73,adult standards
66,1/1/72,philly soul
66,1/1/72,motown
66,1/1/72,quiet storm
66,1/1/72,soul
2,7/1/73,folk rock
2,7/1/73,singer-songwriter
52,6/22/73,motown
52,6/22/73,disco
1,8/28/73,motown
1,8/28/73,soul
1,8/28/73,northern soul
1,8/28/73,quiet storm
59,1973,classic rock
73,8/31/73,classic rock
73,8/31/73,rock
72,1973,motown
72,1973,soul
72,1973,northern soul
39,1/1/73,motown
39,1/1/73,soul
39,1/1/73,philly soul
67,1972,christmas
67,1972,adult standards
58,1972,traditional country
2,4/1/72,folk rock
2,4/1/72,singer-songwriter
74,1/1/73,classic rock
47,8/24/06,northern soul
47,8/24/06,motown
60,1974-01,adult standards
61,2/1/74,philly soul
61,2/1/74,disco
59,1971,folk
37,11/2/18,philly soul
37,11/2/18,disco
40,1/1/06,classic rock
0,8/3/09,comedy
68,1974,folk rock
68,1974,folk
68,1974,singer-songwriter
64,1973,disco
59,10/15/10,disco
69,6/15/74,folk
62,1975,adult standards
50,1974,adult standards
64,7/1/74,blues
64,7/1/74,blues rock
64,7/1/74,classic rock
71,2/15/74,disco
71,2/15/74,soul
71,2/15/74,quiet storm
71,2/15/74,philly soul
48,7/22/74,motown
48,7/22/74,soul
70,1974,classic rock
49,9/26/74,christmas
66,1974,singer-songwriter
67,1974,adult standards
62,6/6/75,christmas
62,6/6/75,adult standards
35,4/24/07,doo-wop
35,4/24/07,adult standards
53,6/1/74,soul
61,1974,country rock
61,1974,mariachi
61,3/22/74,classic rock
61,3/22/74,soft rock
60,1974,classic rock
60,1974,soft rock
60,1974,southern rock
57,9/13/74,disco
57,9/13/74,philly soul
62,3/15/75,disco
52,1975,tejano
65,6/15/74,folk
73,1975,soft rock
73,1975,folk rock
61,1/1/75,soft rock
45,1/1/07,disco
45,1/1/07,philly soul
45,1/1/07,northern soul
74,6/10/75,classic rock
74,6/10/75,soft rock
